产品编号,模板编号,文案内容
S4SS1067,Bh11,梨形姐妹 & 运动男友速冲！修身版型秒变直角肩既视感，透气面料上身自带清爽氛围，两位数抱走今年最火情侣防晒外套。
S4SS1067,Bh11,小个子姐妹 & 酷酷男友快冲！高腰设计瞬间拉长腿比例既视感，柔软材质上身超级亲肤舒适，不到一百带走今春最值情侣穿搭。
S4SS1067,Bh11,苹果型姐妹 & 型男男友必入！宽松遮肉秒变纸片人既视感，呼气面料上身自带舒适体验，两位数拿下夏日最值防晒外衣。
S4SS1067,Bh11,肉肉姐妹 & 阳光男友速来！收腰款式瞬间优化身材既视感，轻薄布料上身自带轻盈感，两位数带走夏日清凉防晒衣。
S4SS1067,Bh11,丰满姐妹 & 潮男男友快看！垂坠感设计秒有高级范既视感，冰丝材质上身自带清凉触感，两位数带走今夏最靓情侣防晒衣。
S4SS1067,Bh12,脖子怕晒、胳膊怕晒的宝子看过来！H型裁剪展示完美身材，轻薄透气面料， 37°C穿也清爽自在，防晒 + 舒适 + 百搭三合一，这波不下手真的亏！
S4SS1067,Bh12,担心晒黑、追求时尚的宝子看过来！修身裁剪让你秒变时尚达人，冰丝质感的面料 35°C 穿也冰冰凉凉，防晒 + 美观 + 实穿三合一，这波不下手真的亏！
S4SS1067,Bh12,皮肤敏感、怕热怕闷的宝子看过来！亲肤无刺激面料，给肌肤温柔呵护，高透气性面料 36°C 穿也不闷热，防晒 + 亲肤 + 实用三合一，这波不下手真的亏！
S4SS1067,Bh12,通勤忙碌、出行怕晒的宝子看过来！宽松板式随性穿搭，面料散热快， 37°C 穿也干爽不粘身，防晒 + 便利 + 好搭三合一，这波不下手真的亏！
S4SS1067,Bh12,运动爱好者、户外怕晒的宝子看过来！弹力舒适裁剪不束缚运动，舒适面料， 39°C 穿也毫无负担，防晒 + 运动 + 耐用三合一，这波不下手真的亏！
S4SS1067,Bh13,爆款男女同款防晒衣杀疯啦！神奇修身裁剪秒变九头身，冰丝面料越穿越清爽，99 元 = 防晒衣 + 时尚外套 + 夏日清凉单品，朋友和家人都追着我要链接系列
S4SS1067,Bh13,街头爆款男女同款防晒衣来袭！立体版型优化身材比例，凉感面料越穿越舒爽，99 元 = 防晒利器 + 百搭上衣 + 潮流必备，同事和同学都夸我会挑系列
S4SS1067,Bh13,宝藏男女同款防晒衣火出圈啦！简约设计打造完美身形，透气面料越穿越凉快，99 元 = 防晒屏障 + 空调伴侣 + 出行百搭装，舍友和玩伴都找我要同款系列
S4SS1067,Bh13,人气爆棚男女同款防晒衣来咯！独特裁剪拉伸腿部线条，亲肤面料越穿越自在，99 元 = 防晒护盾 + 舒适衣衫 + 潮流出行装，兄弟和姐妹都夸眼光好系列
S4SS1067,Bh13,男女通吃的神仙防晒衣炸场啦！流畅线条勾勒优越比例，轻透面料越穿越畅快，99 元 = 防晒神衣 + 日常外套 + 拍照上镜款，路人都忍不住夸好看系列
S4SS1067,Bh14,天呐！这件防晒衣太懂咱了！肉肉多也不怕，穿上瞬间有了骨感美，女生上身秒变清新少女风，自带降温效果的冰感防晒衣，现在买三件就送冰袖！
S4SS1067,Bh14,绝了！这件防晒衣简直藏肉神器！身材圆润也能秒变苗条，精神小伙穿上秒变男神，自带透气感的舒适防晒衣，现在买够三件就送冰袖！
S4SS1067,Bh14,哇塞！这件防晒衣藏肉能力一流！有小肚腩也不怕，青年穿上秒变利落潮流感，自带凉感因子的凉爽防晒衣，现在带三件回家还送冰袖！
S4SS1067,Bh14,救命！这件防晒衣太会修饰身形了！身材不完美也能穿出高级感，怎么穿都好看，自带防紫外线功能的贴心防晒衣，囤三件就送您冰袖！
S4SS1067,Bh14,不得了！这件防晒衣简直是藏肉魔法师！身材微胖瞬间变轻盈，孕妇穿上秒变温柔孕妈范，自带亲肤质感的柔软防晒衣，囤三件立马就送您冰袖！
S4SS1067,Bh15,学生党打工人的福音来啦！这件防晒衣堪称续命神装！宽松直筒版型完美适配各种不完美身材，只需 99 元，就能轻松打造从图书馆到逛街的时尚造型，这性价比，我必须闭眼入五件！
S4SS1067,Bh15,学生党打工人的宝藏防晒衣登场！A 字版型简直是梨形苹果型身材的救星，巧妙遮肉又凸显独特魅力。99 元就能搞定从教室到职场的多样穿搭，这样的好价，我毫不犹豫直接冲三件！
S4SS1067,Bh15,学生党打工人看过来！这款防晒衣绝对是你的续命战袍！透气性能强到超乎想象，仿佛每一个毛孔都在自由呼吸，让你时刻保持清爽。99元就能轻松切换从实验室到聚会的不同风格，我果断闭眼囤四件！
S4SS1067,Bh15,学生党打工人的必备防晒衣来袭！H型裁剪完美包容各种身材短板，面料的透气性简直无敌，就像没穿衣服一样自在凉爽。99 元价格太划算了，我直接冲五件！
S4SS1067,Bh15,学生党打工人的时尚续命单品来咯！H型裁剪防晒衣，身材的美颜相机，轻松打造随性慵懒风。它的透气程度简直一绝，让你在炎炎夏日也能畅享清凉。只需 99元，我直接闭眼冲三件！
S4SS1067,Bh16,今年爆款王炸防晒衣！穿上瞬间优化身材比例，冷感面料黑科技，肌肤时刻干爽，防晒指数 UPF2000 + 只要两位数，刷到别错过！
S4SS1067,Bh16,今夏必入王炸防晒衣！一键 “磨皮” 身材瑕疵，凉感纤维黑科技，汗流不沾身，防晒指数 UPF2000+ 价格超美丽，大数据在提醒你快冲！
S4SS1067,Bh16,今年男女都爱的王炸防晒衣！穿上宛如 PS 美化身材，冰丝黑科技触感超凉，防晒指数 UPF2000+ 仅需两位数，大数据推的别犹豫！
S4SS1067,Bh16,今夏惊艳众人的王炸防晒衣！直接 “液化” 身材缺点，纳米透气黑科技，干爽不闷热，防晒指数 UPF2000+ 性价比超高，刷到就别放过！
S4SS1067,Bh16,今年震撼登场的王炸防晒衣！穿上秒变身材模范，光感降温黑科技，清凉不黏腻，防晒指数 UPF2000+ 价格超亲民，大数据都在帮你！
S4SS1067,Bh17,梨形身材救星防晒衣实测！瞬间藏肉 5 斤不是吹，很多颜色任选，轻盈透气好似没穿，这性价比不冲真的亏大！
S4SS1067,Bh17,苹果型身材福音防晒衣实测！轻松 “隐形” 赘肉，超多颜色可选，透气性能强到能外穿跑步，这性价比不买真的会后悔！
S4SS1067,Bh17,小个子友好防晒衣实测！视觉显高 5 厘米不夸张，任意款颜色都好看就按，透气似微风轻拂，这性价比不囤几件心不安！
S4SS1067,Bh17,丰满身材适配防晒衣实测！巧妙遮肉 8 斤没难度， 每款颜色都好看，透气佳到可当内搭，这性价比不入手睡不着觉！
S4SS1067,Bh17,扁平身材重塑防晒衣实测！立马增添立体感，多种颜色都可选，透气凉感像自带小空调，这性价比不冲就亏啦！
S4SS1067,Bh18,情侣闺蜜必备的时尚利器！H型剪裁修饰各种身形，宛如自带冰感的移动小冰箱，防晒实力超强价格超亲民，库存紧张速来！
S4SS1067,Bh18,情侣闺蜜都爱的百搭神衣！直筒剪裁藏肉显身形，拥有如沐清风凉感的贴心伴侣，防晒优秀性价比爆棚，库存有限快冲！
S4SS1067,Bh18,情侣闺蜜入手不亏的宝藏！H字剪裁轻松遮胯藏肉，自带凉感的夏日清凉护盾，防晒出色价格美丽，库存告急别错过！
S4SS1067,Bh18,情侣闺蜜必抢的夏日法宝！H型剪裁包容各种身材，行走的凉感防晒小卫士，防晒值超高还实惠，库存不多手要快！
